genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
AY317174,AY317174,Tenuipetiolus medicaginis,"Indonesia: East of Kalimantan, Kutai",,,,,
AY317180,AY317180,Tetramesa bambusae,"China: Liuba, Shaanxi",,,,,
AY317156,AY317156,Neorileya meridionalis,Guyana: Mazaruni-Potaro District: Kaieteur fall,,,,,
AY317161,AY317161,Megastigmus dorsalis,"China: Fanjing Mt.,Guizhou",,,,,
AY317165,AY317165,Monodontomerus minor,"China: Fanjing Mt.,Guizhou",,,,,
AY317177,AY317177,Brachymeria lasus,"China: Fanjing Mt.,Guizhou",,,,,
AY317172,AY317172,Aiolomorphus rhopaloides,"China: Fanjing Mt.,Guizhou",,,,,
AY317173,AY317173,Bephratelloides cubensis,"Indonesia: East of Kalimantan, Kutai",,,,,
AY317160,AY317160,Bruchophagus sp. 3,China: Oamdo Tibet,,,,,
AY317171,AY317171,Eurytoma manilensis,China: Beijing,,,,,
AY317175,AY317175,Eurytoma sp. 1,"China: Fanjing Mt.,Guizhou",,,,,
AY599281,AY599281,Tetramesa,USA: MD: Wicomico Co.,,,,,
DQ080114,DQ080114,Tetramesa,Germany (?),,,,,
JN623677,JN623677,Tetramesa,"USA: MD: Prince Georges Co.
",,,,,
