genbank_id,sequence_id,organism,country,host,collection_date,sex,lat_lon,note
OQ302713,GFS_2021_00887,Tetramesa sp. 13,"South Africa: Khuleni Powerlines, Hluhluwe",Eragrostis superba,2021,f,28.033 S 32.283 E,
OQ302714,GFS_2021_00894,Tetramesa sp. 9,"South Africa: Khuleni Powerlines, Hluhluwe",Cynodon dactylon,2021,m,28.033 S 32.283 E,
OQ302715,GFS_2021_00901,Tetramesa sp. 12,"South Africa: Drummond, Durban",Eustachys paspaloides,2021,f,29.762 S 30.692 E,
OQ302716,GFS_2021_00902,Tetramesa sp. 10,"South Africa: Mkuze GR turn_off, Mkuze",Eragrostis trichophora,2021,m,27.622 S 32.025 E,
OQ302717,KCP_2011_00169,Tetramesa romana,South Africa: Bethlehem area,Arundo dox,2021,,28.432 S 28.013 E,
OQ302718,KCP_2011_00173,Tetramesa romana,South Africa: Bethlehem area,Arundo dox,2021,,28.401 S 27.253 E,
OQ302719,KCP_2012_00170,Tetramesa romana,South Africa: Bethlehem area,Arundo dox,2022,,28.511 S 27.302 E,
OQ302720,KCP_2012_00172,Tetramesa romana,South Africa: Bethlehem area,Arundo dox,2022,,28.421 S 27.264 E,
OQ302721,KCP_2020_00012,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.333 E,
OQ302722,KCP_2020_00019,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ302723,KCP_2020_00032,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.395 S 27.262 E,
OQ302724,KCP_2020_00033,Tetramesa sp. 5,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
OQ302725,KCP_2020_00036,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.332 E,
OQ302726,KCP_2020_00037,Tetramesa sp 5,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ302727,KCP_2020_00039,Tetramesa sp. 5,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ302728,KCP_2020_00040,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis pla,2020,m,28.451 S 27.335 E,
OQ302729,KCP_2020_00041,Tetramesa sp. 5,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ302730,KCP_2020_00044,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.332 E,
OQ302731,KCP_2020_00045,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.332 E,
OQ302732,KCP_2020_00047,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis pla,2020,m,28.451 S 27.335 E,
OQ302733,KCP_2020_00048,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,m,28.452 S 27.333 E,
OQ302734,KCP_2020_00052,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.452 S 27.332 E,
OQ302735,KCP_2020_00054,Tetramesa sp. 20,South Africa: Rietspruit area,Eragrostis pla,2020,f,28.451 S 27.335 E,
OQ302736,KCP_2020_00055,Tetramesa sp. 4,South Africa: Rietspruit area,Eragrostis curvula,2020,f,28.395 S 27.262 E,
